Capstone Competition									
Page last updated on: 2015-10-12 04:28:58 (GMT)									
Rank	Alias	Classification Accuracy	Precision 0	Precision 1	Recall 0	Recall 1	Precision	Recall	F1
73	PESPARZA	0.701482004	0.994852859	0.014412998	0.702734745	0.544554455	0.504632928	0.6236446	0.557862038
74	Belethia	0.681957187	0.994933211	0.014008356	0.682895985	0.564356436	0.504470783	0.62362621	0.557755591
75	Wch	0.747902454	0.994653528	0.015556938	0.749920961	0.495049505	0.505105233	0.622485233	0.557685717
76	PhilF	0.604720458	0.99531433	0.012820513	0.60441037	0.643564356	0.504067422	0.623987363	0.557653237
77	MrXXX	0.487336313	0.996105161	0.011682597	0.485140689	0.762376238	0.503893879	0.623758463	0.557455627
78	MichaelLyubinin	0.632321807	0.995149857	0.013157895	0.632469175	0.613861386	0.504153876	0.62316528	0.557377544
79	Peter Lee	0.62220654	0.995195954	0.013008466	0.62219412	0.623762376	0.50410221	0.622978248	0.55727115
80	jgdm	0.649651062	0.995039923	0.013371963	0.650094847	0.594059406	0.504205943	0.622077126	0.556973629
81	isalnum	0.591311848	0.995339547	0.012588213	0.590815681	0.653465347	0.50396388	0.622140514	0.556851299
82	mdmaryland	0.786795264	0.994425087	0.01661743	0.789519444	0.445544554	0.505521258	0.617531999	0.555940782
83	jiacheng	0.654355838	0.994956772	0.013333333	0.654916219	0.584158416	0.504145053	0.619537317	0.555916301
84	amazing_rcw	0.625264644	0.995094957	0.012911287	0.625355675	0.613861386	0.504003122	0.619608531	0.55585866
85	musmar	0.614757312	0.995137556	0.012758202	0.614685425	0.623762376	0.503947879	0.619223901	0.555670249
86	inaoct	0.428918686	0.996486037	0.011162537	0.425861524	0.811881188	0.503824287	0.618871356	0.555453157
87	mdcscry	0.62275543	0.995075136	0.012825817	0.622826431	0.613861386	0.503950476	0.618343908	0.555317235
88	gilles76	0.736375755	0.994569847	0.014876525	0.738302245	0.495049505	0.504723186	0.616675875	0.555111241
89	jedi623	0.697639771	0.994713161	0.013978773	0.698940879	0.534653465	0.504345967	0.616797172	0.554932114
90	marta	0.551713322	0.995427918	0.011991658	0.550663927	0.683168317	0.503709788	0.616916122	0.554594867
91	aldredes	0.385399514	0.996903386	0.010873688	0.381678786	0.851485149	0.503888537	0.616581967	0.554568075
92	JoinToTheDarkSide	0.511565906	0.995678345	0.01163532	0.509879861	0.722772277	0.503656833	0.616326069	0.554324241
93	BerniePi	0.559633028	0.995353422	0.012033268	0.558725893	0.673267327	0.503693345	0.61599661	0.554213051
94	Mukesh	0.56559241	0.995264624	0.01202225	0.564811887	0.663366337	0.503643437	0.614089112	0.553409581
95	Murtuza	0.555006665	0.995314497	0.011908932	0.554062599	0.673267327	0.503611714	0.613664963	0.553218142
96	Tiago	0.65012154	0.994804253	0.012955104	0.650727158	0.574257426	0.503879679	0.612492292	0.552902486
97	SedletskijVV	0.572649573	0.995187019	0.012041598	0.572004426	0.653465347	0.503614308	0.612734886	0.552841454
98	divyansh	0.687916569	0.994638376	0.013544018	0.689140057	0.534653465	0.504091197	0.611896761	0.552786916
99	Elston	0.649494237	0.994799226	0.012931996	0.650094847	0.574257426	0.503865611	0.612176136	0.55276517
100	Bunty	0.649494237	0.994799226	0.012931996	0.650094847	0.574257426	0.503865611	0.612176136	0.55276517
101	"""pred"""	0.618207481	0.994912883	0.012474438	0.618321214	0.603960396	0.50369366	0.611140805	0.552239384
102	paul	0.778953972	0.994269629	0.015680684	0.781694594	0.435643564	0.504975157	0.608669079	0.551994531
